City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
198,Arlit,NE,18.7369,7.3853,84.13,14,0,9.33,clear sky
199,Qaanaaq,GL,77.484,-69.3632,24.48,65,100,7.09,overcast clouds
200,Cowra,AU,-33.8333,148.6833,62.28,60,57,13.38,broken clouds
201,Hachinohe,JP,40.5,141.5,71.82,59,100,8.34,overcast clouds
202,Acarau,BR,-2.8856,-40.12,80.37,80,57,17.43,broken clouds
203,Laguna,US,38.421,-121.4238,82.76,58,1,8.01,clear sky
204,Kodiak,US,57.79,-152.4072,45.59,53,100,4.27,overcast clouds
205,Rochester,US,43.1548,-77.6156,70.09,74,75,1.01,broken clouds
206,Mahebourg,MU,-20.4081,57.7,70.25,73,40,11.5,light rain
207,Asau,RO,46.4333,26.4,56.75,78,38,1.43,light rain
208,Nalobikha,RU,53.2006,84.6039,30.25,89,100,6.49,overcast clouds
209,Roma,US,43.2128,-75.4557,67.89,87,90,0.0,overcast clouds
210,Iskateley,RU,67.6803,53.1512,44.71,96,100,9.24,overcast clouds
211,Tura,IN,25.5198,90.2201,76.15,87,36,2.71,scattered clouds
212,Constitucion,CL,-35.3333,-72.4167,52.0,64,0,7.54,clear sky
213,Barinas,VE,8.6226,-70.2075,73.78,92,93,3.49,overcast clouds
214,Medea,DZ,36.2642,2.7539,57.65,64,99,2.55,overcast clouds
215,Hasaki,JP,35.7333,140.8333,73.29,59,66,14.34,broken clouds
216,Atocha,BO,-20.9333,-66.2333,54.43,27,0,6.26,clear sky
217,Davila,PH,18.4726,120.5763,82.38,71,81,9.13,broken clouds
218,Lorengau,PG,-2.0226,147.2712,85.5,65,73,8.19,broken clouds
219,Fushe-Arrez,AL,42.0622,20.0167,63.21,59,50,1.16,scattered clouds
220,Mtama,TZ,-10.3,39.3667,65.66,97,6,1.14,clear sky
221,Walvis Bay,NA,-22.9575,14.5053,58.08,88,5,4.61,clear sky
222,Bachaquero,VE,9.9694,-71.1494,83.48,72,96,6.49,overcast clouds
223,Torbay,CA,47.6666,-52.7314,60.28,92,90,14.97,overcast clouds
224,Vangaindrano,MG,-23.35,47.6,68.0,82,82,3.27,broken clouds
225,Cutervo,PE,-6.379,-78.8157,52.16,86,3,3.42,clear sky
226,Resistencia,AR,-27.4606,-58.9839,84.25,59,0,8.05,clear sky
227,San Juan,AR,-31.5375,-68.5364,72.73,28,0,10.98,clear sky
228,Doha,QA,25.2867,51.5333,85.98,62,0,2.3,clear sky
229,Znamenskoye,RU,57.1281,73.8282,37.38,86,100,5.26,overcast clouds
230,Necochea,AR,-38.5473,-58.7368,43.03,84,0,6.96,clear sky
