City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
510,Bucerias,MX,80.24,overcast clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
511,Sisophon,KH,80.96,few clouds,13.5859,102.9737,Pyramid Hotel
512,Fuerte Olimpo,PY,84.58,few clouds,-21.0415,-57.8738,Hospedaje DAMI
514,Meulaboh,ID,78.46,overcast clouds,4.1363,96.1285,Kost Pria
516,Biak,ID,81.41,overcast clouds,-0.9131,122.8766,Penginapan Kim
520,Yulara,AU,75.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
523,Cozumel,MX,82.99,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
526,Padang,ID,78.85,broken clouds,-0.9492,100.3543,Mercure Padang
529,Shangrao,CN,82.51,broken clouds,28.4532,117.9686,Boyue boutique Hotel
530,Dwarka,IN,82.45,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
532,Miles City,US,86.97,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
533,Jabinyanah,TN,80.4,broken clouds,35.035,10.9081,maison belmabrouk
534,Surin,TH,77.38,broken clouds,14.8818,103.4936,One Fu Hotel
535,Bandarbeyla,SO,76.96,broken clouds,9.4942,50.8122,JABIR HOTEL
539,Douglas,US,85.48,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
540,Erdemli,TR,75.29,clear sky,36.605,34.3084,Sun Rice Otel
542,Syracuse,IT,78.39,overcast clouds,37.0881,15.2792,Hotel Posta
545,La Orilla,MX,80.17,overcast clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
553,Diamantino,BR,82.44,broken clouds,-14.4086,-56.4461,Hotel Delta
559,Samarai,PG,80.22,broken clouds,-10.6167,150.6667,Nuli Sapi
560,Nishihara,JP,83.86,scattered clouds,26.1842,127.7558,Minshuku Agaihama
562,Tete,MZ,76.59,few clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
572,Pedasi,PA,81.07,overcast clouds,7.5333,-80.0333,Selina Pedasi
577,Moratuwa,LK,78.82,overcast clouds,6.773,79.8816,Sa Mansion By Yoho
583,Buala,SB,80.58,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
584,Nara,JP,76.5,broken clouds,34.6851,135.8049,Guesthouse Nara Komachi
585,Memari,IN,80.46,overcast clouds,23.2,88.1167,Taktipur shiv mandir
586,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
