City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
157,Rio Grande,BR,2021-09-26 14:24:17,-32.035,-52.0986,68.95,71,0,2.95
158,Fortuna,US,2021-09-26 14:24:17,40.5982,-124.1573,55.92,67,90,3.0
159,Byron Bay,AU,2021-09-26 14:24:17,-28.65,153.6167,58.95,75,100,14.29
160,Porto Nacional,BR,2021-09-26 14:24:18,-10.7081,-48.4172,84.2,26,13,6.4
161,Tessalit,ML,2021-09-26 14:24:19,20.1986,1.0114,102.99,7,0,17.72
162,Cabo San Lucas,MX,2021-09-26 14:21:54,22.8909,-109.9124,78.15,79,28,4.41
163,Bud,US,2021-09-26 14:24:19,39.447,-86.1758,64.47,70,2,8.9
164,Yenagoa,NG,2021-09-26 14:24:20,4.9247,6.2642,77.59,89,100,1.28
165,Hilo,US,2021-09-26 14:24:20,19.7297,-155.09,74.8,89,90,5.75
166,Sungaipenuh,ID,2021-09-26 14:24:20,-2.0833,101.3833,66.38,98,100,0.6
167,Fort Nelson,CA,2021-09-26 14:24:21,58.8053,-122.7002,36.99,75,75,0.0
168,Progreso,MX,2021-09-26 14:24:21,21.2833,-89.6667,83.1,82,34,5.28
169,Ketchikan,US,2021-09-26 14:24:21,55.3422,-131.6461,45.07,93,20,0.0
170,Zvolen,SK,2021-09-26 14:24:22,48.5744,19.1532,78.01,53,38,4.07
171,Kumano,JP,2021-09-26 14:24:22,34.3442,132.5894,72.52,88,35,7.96
172,Bronnoysund,NO,2021-09-26 14:24:23,65.4625,12.1997,59.41,94,75,9.22
173,Pitangui,BR,2021-09-26 14:24:23,-19.6828,-44.8903,86.38,32,0,7.34
174,Ilulissat,GL,2021-09-26 14:24:23,69.2167,-51.1,21.22,45,0,11.5
175,Vila Velha,BR,2021-09-26 14:22:50,-20.3297,-40.2925,80.55,59,75,10.36
176,Sioux Lookout,CA,2021-09-26 14:24:24,50.1001,-91.917,50.07,100,75,0.0
177,Taoudenni,ML,2021-09-26 14:24:24,22.6783,-3.9836,109.89,5,5,19.42
178,The Valley,AI,2021-09-26 14:24:25,18.217,-63.0578,88.11,70,40,6.91
179,Poum,NC,2021-09-26 14:24:25,-20.2333,164.0167,71.26,73,100,7.09
180,Chardara,KZ,2021-09-26 14:24:25,41.2547,67.9692,78.53,19,0,3.94
181,Kushnarenkovo,RU,2021-09-26 14:24:26,55.105,55.3508,57.58,68,100,15.35
182,Mahebourg,MU,2021-09-26 14:24:26,-20.4081,57.7,71.89,88,75,10.36
183,Alofi,NU,2021-09-26 14:24:27,-19.0595,-169.9187,60.69,100,55,0.0
184,Mokhsogollokh,RU,2021-09-26 14:24:27,61.4681,128.9203,31.24,90,81,4.32
185,Praya,CV,2021-09-26 14:24:27,14.9215,-23.5087,86.54,58,20,19.57
186,Gouyave,GD,2021-09-26 14:24:28,12.1646,-61.7296,88.57,70,40,13.8
187,Avera,US,2021-09-26 14:24:28,33.194,-82.5271,69.67,60,0,2.95
188,El Seibo,DO,2021-09-26 14:24:29,18.7641,-69.0375,87.33,63,3,3.85
189,Mugur-Aksy,RU,2021-09-26 14:24:29,50.35,90.5,27.52,66,89,4.7
190,Auki,SB,2021-09-26 14:24:29,-8.7676,160.7034,77.34,88,56,3.69
191,Tabuan,PH,2021-09-26 14:24:30,9.5156,122.8506,75.76,91,84,1.3
192,Gazli,UZ,2021-09-26 14:24:30,40.1333,63.45,84.76,23,0,14.74
193,Wanning,CN,2021-09-26 14:24:30,18.8003,110.3967,79.43,87,16,4.7
194,Cidreira,BR,2021-09-26 14:24:31,-30.1811,-50.2056,70.12,71,0,6.64
195,Naryan-Mar,RU,2021-09-26 14:24:31,67.6713,53.087,41.65,90,100,13.89
196,Buriti Dos Lopes,BR,2021-09-26 14:24:31,-3.175,-41.8669,99.18,29,92,6.4
197,Aripuana,BR,2021-09-26 14:24:32,-9.1667,-60.6333,94.39,40,9,2.44
198,Banes,CU,2021-09-26 14:24:32,20.9625,-75.7186,86.61,67,7,6.62
199,Filingue,NE,2021-09-26 14:24:33,14.3521,3.3168,101.19,17,34,3.98
200,Windsor,CA,2021-09-26 14:22:05,42.3001,-83.0165,61.14,72,75,1.01
201,Sinnamary,GF,2021-09-26 14:24:33,5.3833,-52.95,86.76,61,39,8.25
202,Sovetskiy,RU,2021-09-26 14:24:34,61.3614,63.5842,36.79,67,100,6.24
203,Lasa,IT,2021-09-26 14:24:34,46.6166,10.7002,65.14,92,100,5.64
204,Stonewall,CA,2021-09-26 14:24:34,50.1344,-97.3268,58.01,52,28,6.78
205,San-Pedro,CI,2021-09-26 14:24:35,4.7485,-6.6363,73.45,99,100,6.71
206,Chino Valley,US,2021-09-26 14:24:35,34.7575,-112.4538,63.45,79,90,4.61
207,Metu,ET,2021-09-26 14:24:36,8.3,35.5833,62.71,95,99,1.34
208,Sao Joao Da Barra,BR,2021-09-26 14:24:36,-21.6403,-41.0511,82.49,65,24,17.11
209,Talnakh,RU,2021-09-26 14:24:36,69.4865,88.3972,34.52,55,83,4.72
210,Celestun,MX,2021-09-26 14:24:37,20.8667,-90.4,80.94,74,19,7.76
211,Cap Malheureux,MU,2021-09-26 14:24:37,-19.9842,57.6142,72.09,77,2,11.99
212,Port-Cartier,CA,2021-09-26 14:24:38,50.0334,-66.8654,55.92,96,100,14.41
213,Amapa,BR,2021-09-26 14:24:38,1.0,-52.0,89.31,50,88,4.92
214,Zadar,HR,2021-09-26 14:24:38,44.1197,15.2422,79.41,47,0,5.75
215,Alyangula,AU,2021-09-26 14:24:39,-13.8483,136.4192,75.07,88,55,1.14
216,Tasiilaq,GL,2021-09-26 14:24:39,65.6145,-37.6368,39.36,73,54,3.42
217,Lorengau,PG,2021-09-26 14:24:40,-2.0226,147.2712,80.85,81,21,8.61
218,Lebu,CL,2021-09-26 14:24:41,-37.6167,-73.65,50.43,67,12,14.54
219,Bin Qirdan,TN,2021-09-26 14:24:41,33.1378,11.2197,90.86,38,100,13.15
220,Asau,RO,2021-09-26 14:24:42,46.4333,26.4,74.75,52,4,2.82
221,Sao Filipe,CV,2021-09-26 14:24:42,14.8961,-24.4956,79.45,76,86,5.28
222,Mar Del Plata,AR,2021-09-26 14:22:55,-38.0023,-57.5575,66.22,62,0,15.01
223,Hualmay,PE,2021-09-26 14:24:43,-11.0964,-77.6139,64.0,80,67,7.74
224,Middletown,US,2021-09-26 14:24:43,39.5151,-84.3983,64.49,76,1,8.05
225,Northam,GB,2021-09-26 14:24:44,51.0333,-4.2167,69.21,64,99,16.78
226,Barra Do Corda,BR,2021-09-26 14:24:44,-5.5,-45.25,95.14,35,5,7.38
227,Saint-Augustin,CA,2021-09-26 14:24:45,51.226,-58.6502,60.42,85,100,5.14
228,Kondinskoye,RU,2021-09-26 14:24:45,59.6481,67.41,36.18,76,16,7.85
229,Bethel,US,2021-09-26 14:24:45,41.3712,-73.414,67.19,72,20,1.01
230,Coruripe,BR,2021-09-26 14:24:46,-10.1256,-36.1756,81.75,69,18,12.93
231,Kailua,US,2021-09-26 14:24:46,21.4022,-157.7394,78.78,73,75,8.05
232,Sola,VU,2021-09-26 14:24:47,-13.8833,167.55,78.55,79,15,16.4
233,Havoysund,NO,2021-09-26 14:24:47,70.9963,24.6622,49.08,70,100,14.9
234,Ewa Beach,US,2021-09-26 14:24:01,21.3156,-158.0072,78.75,78,1,11.01
235,Nemuro,JP,2021-09-26 14:24:47,43.3236,145.575,56.21,83,100,8.1
236,Qaqortoq,GL,2021-09-26 14:24:48,60.7167,-46.0333,37.9,42,0,5.01
237,Guerrero Negro,MX,2021-09-26 14:24:48,27.9769,-114.0611,68.52,80,0,12.06
238,Henties Bay,NA,2021-09-26 14:24:48,-22.116,14.2845,59.86,75,11,9.08
239,Kilindoni,TZ,2021-09-26 14:24:49,-7.9139,39.6668,78.03,70,9,9.98
240,Obo,CF,2021-09-26 14:24:49,5.3998,26.4869,75.99,76,93,2.91
241,Hamilton,US,2021-09-26 14:24:50,39.1834,-84.5333,64.6,72,1,1.01
242,Hogyesz,HU,2021-09-26 14:24:50,46.497,18.4184,79.12,39,11,6.58
243,West Odessa,US,2021-09-26 14:24:50,31.8424,-102.4988,68.83,53,1,11.5
244,Barrow,US,2021-09-26 14:23:13,71.2906,-156.7887,21.22,86,90,4.61
245,Palmer,US,2021-09-26 14:24:51,42.1584,-72.3287,68.5,64,20,4.0
246,Jiangyou,CN,2021-09-26 14:24:51,31.7667,104.7167,67.96,84,100,6.67
247,Moose Factory,CA,2021-09-26 14:24:52,51.2585,-80.6094,51.8,87,75,6.91
248,Hoa Binh,VN,2021-09-26 14:24:52,20.8133,105.3383,76.89,93,42,1.68
249,Prieska,ZA,2021-09-26 14:24:53,-29.6641,22.7474,95.07,5,29,11.92
250,High Level,CA,2021-09-26 14:24:53,58.5169,-117.136,30.31,93,75,3.44
251,Richards Bay,ZA,2021-09-26 14:24:53,-28.783,32.0377,73.08,74,31,12.1
252,Massafra,IT,2021-09-26 14:24:54,40.5888,17.117,85.17,57,58,6.6
253,Wote,KE,2021-09-26 14:24:54,-1.7808,37.6288,82.96,32,26,7.18
254,Jumla,NP,2021-09-26 14:24:55,29.2747,82.1838,60.6,86,74,2.01
255,Yeppoon,AU,2021-09-26 14:24:55,-23.1333,150.7333,69.58,74,41,12.88
256,Mehran,IR,2021-09-26 14:24:55,33.1222,46.1646,96.28,11,0,26.22
257,Puyang,CN,2021-09-26 14:24:56,29.4603,119.8861,73.18,78,40,2.68
258,Nanchong,CN,2021-09-26 14:24:56,30.7951,106.0847,70.27,88,100,12.26
259,Kalmanhaza,HU,2021-09-26 14:24:56,47.8833,21.5833,78.69,41,66,1.54
260,Bertoua,CM,2021-09-26 14:24:57,4.5833,13.6833,82.06,64,55,2.73
261,Salinopolis,BR,2021-09-26 14:22:42,-0.6136,-47.3561,85.26,65,92,13.98
262,Mahon,ES,2021-09-26 14:25:00,39.8885,4.2658,81.16,74,20,9.22
263,Elizabeth City,US,2021-09-26 14:25:01,36.2946,-76.2511,72.05,70,1,16.11
264,Cascais,PT,2021-09-26 14:22:21,38.6979,-9.4215,77.5,71,40,1.01
265,Stara Vyzhivka,UA,2021-09-26 14:25:03,51.4376,24.44,62.69,53,87,5.79
266,Ponta Do Sol,PT,2021-09-26 14:25:03,32.6667,-17.1,78.01,59,97,4.12
267,Kahului,US,2021-09-26 14:25:03,20.8947,-156.47,78.84,86,1,9.22
268,Khasan,RU,2021-09-26 14:25:04,42.4308,130.6434,63.37,88,37,6.78
269,Vieux-Habitants,GP,2021-09-26 14:25:04,16.0589,-61.7659,87.37,62,2,6.42
270,Bay Roberts,CA,2021-09-26 14:25:05,47.5999,-53.2648,61.66,73,87,8.01
271,Simbahan,PH,2021-09-26 14:25:05,6.3032,120.5836,83.46,73,21,8.05
272,Butaritari,KI,2021-09-26 14:25:05,3.0707,172.7902,83.1,76,85,16.28
273,Sur,OM,2021-09-26 14:25:06,22.5667,59.5289,88.03,57,0,3.0
274,Kurilsk,RU,2021-09-26 14:25:06,45.2333,147.8833,51.62,64,21,5.39
275,Nikolskoye,RU,2021-09-26 14:25:07,59.7035,30.7861,52.88,78,51,8.43
276,Bonfim,BR,2021-09-26 14:25:07,3.0833,-59.95,87.19,57,27,3.33
