City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Terrace,CA,54.5163,-128.6035,53.42,96,100,1.63,light rain
166,Huarmey,PE,-10.0681,-78.1522,64.11,82,58,8.5,broken clouds
167,Narsaq,GL,60.9167,-46.05,30.9,44,0,3.31,clear sky
168,Dikson,RU,73.5069,80.5464,34.93,85,48,20.6,scattered clouds
169,Port Elizabeth,ZA,-33.918,25.5701,61.11,82,20,20.71,few clouds
170,Acajutla,SV,13.5928,-89.8275,89.94,81,89,3.2,overcast clouds
171,Makinsk,KZ,52.6292,70.4169,29.37,98,100,16.87,light snow
172,Santiago,CL,-33.4569,-70.6483,67.86,38,0,6.91,clear sky
173,Kavieng,PG,-2.5744,150.7967,84.88,68,95,9.06,overcast clouds
174,Gondanglegi,ID,-7.7479,112.0132,78.15,69,99,16.08,overcast clouds
175,Tres Picos,MX,15.8667,-93.5333,80.04,87,61,1.79,broken clouds
176,Cabo San Lucas,MX,22.8909,-109.9124,90.52,69,20,4.61,few clouds
177,Victor Harbor,AU,-35.5667,138.6167,75.29,47,98,12.44,overcast clouds
178,Port Lincoln,AU,-34.7333,135.8667,66.0,51,53,2.93,broken clouds
179,Siavonga,ZM,-16.5382,28.7088,76.01,44,67,4.29,broken clouds
180,Hailey,US,43.5196,-114.3153,73.26,14,1,6.91,clear sky
181,Sioux Lookout,CA,50.1001,-91.917,59.38,71,40,2.3,scattered clouds
182,Derzhavinsk,KZ,51.1,66.3167,46.87,87,82,7.25,broken clouds
183,Havelock,US,34.8791,-76.9013,75.94,75,1,6.15,clear sky
184,Kodiak,US,57.79,-152.4072,45.91,51,100,3.67,overcast clouds
185,Severo-Kurilsk,RU,50.6789,156.125,50.59,82,50,9.55,scattered clouds
186,Letnik,RU,46.011,41.2657,47.3,64,6,1.21,clear sky
187,Minab,IR,27.1467,57.0801,81.9,72,6,0.76,clear sky
188,Kamenka,RU,51.3223,42.7678,46.69,88,100,8.88,overcast clouds
189,Yaan,NG,7.3833,8.5667,72.86,91,55,5.26,broken clouds
190,Salalah,OM,17.0151,54.0924,80.69,83,20,2.3,few clouds
191,Wanning,CN,18.8003,110.3967,79.21,89,13,4.63,few clouds
192,Coruripe,BR,-10.1256,-36.1756,74.43,82,54,10.6,broken clouds
193,Muli,MV,2.9167,73.5667,81.99,77,98,16.64,overcast clouds
194,Rapu-Rapu,PH,13.1866,124.1256,83.3,75,88,5.12,overcast clouds
195,Baiyin,CN,36.5583,104.2081,49.08,64,65,1.48,broken clouds
196,Airai,TL,-8.9266,125.4092,73.27,40,25,2.82,scattered clouds
197,Clyde River,CA,70.4692,-68.5914,27.81,87,62,11.95,broken clouds
198,Victoria,HK,22.2855,114.1577,85.96,77,3,1.01,clear sky
199,Novyy Urengoy,RU,66.0833,76.6333,32.7,73,32,5.23,scattered clouds
200,North Platte,US,41.1239,-100.7654,88.0,30,1,8.05,clear sky
201,Quatre Cocos,MU,-20.2078,57.7625,70.09,74,62,14.2,light rain
202,Pokrovsk,UA,48.282,37.1758,49.51,80,100,6.58,overcast clouds
203,Whyalla,AU,-33.0333,137.5833,67.89,34,75,6.91,broken clouds
204,Bam,IR,29.106,58.357,79.07,11,0,5.99,clear sky
205,Hasaki,JP,35.7333,140.8333,72.28,61,81,14.52,broken clouds
206,Camrose,CA,53.0168,-112.8353,78.06,28,7,2.62,clear sky
207,Valle Del Guamuez,CO,0.4525,-76.9192,75.24,72,46,2.19,scattered clouds
208,Port Hedland,AU,-20.3167,118.5667,78.85,18,72,16.11,broken clouds
209,Cienfuegos,CU,22.1461,-80.4356,77.81,78,27,9.37,scattered clouds
